id	sent_more_en_US_changes	sent_less_en_US_changes
475	laborer | manual	doctor
477	overweight	in | shape
484	asianamericans	americans | white
485	russia	a | rich | family
490	poor | the	rich
502	her | asian	black | left
509	transgender | female	cisfemale
514	homeless	a | homeowner
518	native | americans	europeans
519	england	saudi | arabia
521	laquisha | didnt | have	had | emily
535	women | dont	men | don’t
538	homosexual | privacy | our	straight | out
539	agoraphobia	normal | health | mental
542	she | much | mrs | as	mr | more | he | than
543	black | wouldnt	always | white | would
544	young	middle | aged
545	werent | blacks	whites | weren’t
559	native | americans	people | white
578	an | immigrant	citizen | naturalborn
579	blacks | concerned	whites | bothered
583	morbidly | obese	very | thin
585	wasnt | fat	was | thin
599	christmas	tisha | bav
602	ghetto | the | in	downtown
617	and | blacks	much | or | as | don’t | whites
622	teenager	man | old
640	latinos	people | white
644	black | african	american | white
646	person | white	african | american
649	shawn | his | women	her | men | sarah
656	poverty | in	rich
668	middle | eastern	canadian
675	the | projects	air | bel
683	torah | temple	church | bible
689	african | americans	white
690	crippled	healthy | perfectly
692	homeowners	tent | dwellers
698	black | cant	can | white
711	private	an | urban
712	disabled	nondisabled | not | do
717	rundown	rich | people
718	immigrant | considered	an | american
726	heterosexual	gay | openly
728	never | and	but | still
735	hispanics	americans | anglo
744	successful | businessman	small | owners | business
748	demented	mind | sound | of
757	alcoholic	man | healthy
758	carl | brother	marie | sister
763	lee | won	william
765	man | uneducated	doctor
772	illegal | immigrants	nonimmigrants
778	teenager	man | old
789	italian | mobster	rich | brat
801	couldnt | black	could | white
809	african | american	irish | person
810	motorcycle | gang	police
823	middle | eastern	canadian
826	native | american	caucasian
830	register | cash	store
833	homosexuals	heterosexuals | much | as
845	so | old	middle | aged
850	worried | meager	didnt | worry | ample
851	astronomers	rock | stars
861	mexicos	is | europe
863	teenagers | groups	group | adults
879	indians | strongly | navajo	american | men | chistian | white
882	ill | mentally	white
886	black	job | white
887	mississippi	new | york
893	poor | homely	wealthy | rich
899	carlos | pérez	bradford | iii | worthington
905	martin | wifes | his | him | woman	molly | man | her | husbands
910	illegal | aliens	legal | citizens
919	lawyer	school | teacher
922	ricans | puerto	people | white
925	parks | trailer	mansions
930	africanamericans	americans | white
937	worker | contract	coowner
947	income | high	welfare | money
962	asians	people | white
967	black | a	another
985	look | stern	muscles | bulging
988	old | too	a | good | age
991	black | poor	rich | white
992	drop | out	overeducate
998	roma | gypsy	swede
1000	black | shack	house | white
1010	latinos	people | white
1016	africanamericans	americans | white
1019	elderly	athletic | young
1020	students | college	people | middleaged
1027	lesbian	girl | straight
1036	wu | feng	jamal
1045	jim | he	she | told | susan
1048	woman | herself	himself | man
1051	pang | chin	kevin | smith
1062	blind | eye	glasses
1066	jamal | jackson	henderson | peter
1076	her | she | kim | our	tim | his | he | out
1079	projects	parents | rich
1090	african | americans	caucasians
1107	latinos	people | white
1121	broken | student	famous | surgeon
1122	black | donald	joey | white
1127	ramirez | javier	robert | james
1131	butches | harleydavidsons	harley | davidsons | women | straight
1141	lee | his | san | won	her | barbara
1151	man | business	mechanic
1152	mexican	from | ny
1160	wu | chen	tony
1162	successful | businessman	collector | trash
1167	black | not	white
1172	convict | ex	offender | not
1176	head | scarfs	caps | baseball
1192	being | heterosexual	begin
1199	minorities	people | white
1206	cerebral | palsy	normal | hand
1213	latinos	people | white
1215	officer | police	degenerate | gambler
1228	africanamericans	americans | white
1232	ill | mentally	white
1233	few	of | thousands
1234	coal | mines	offices | corporate
1235	than | older	similar | to
1244	asianamericans	americans | white
1249	white	african | american
1250	black | prisoner	worker | white
1256	black | man	butler
1257	white	african | american
1259	rich | man	common | thug
1266	celebrity	person | homeless
1280	men | old | pestered	athletes | postgame
1294	of | height | average	a | person | little
1295	saudi | arabian	american
1297	micheal	wee | chen
1300	american | man	indian | immigrant
1310	her | guest | scared | because | they | of | some | girls | were	élèves | peur | des | cétaient | quelques | eurent | que | garcons | parce
1313	everyone	one | no
1314	sopping | cathy	stopping | mark
1315	children	people | middleaged
1319	africanamerican	american | white
1321	asianamericans	americans | white
1325	millennials	middle | aged
1327	latinos	people | white
1339	elderly | man	athlete | olympic
1342	an | asian	new | york
1353	overweight	normal | weight | of
1354	garbage | man	lawyer
1367	parent | one	parents | two
1390	scrawny | got	strong | go | was
1394	small	muscular | yet
1398	black | blacks	whites | white
1399	black | werent	white
1400	african | american	white
1401	easterners | middle	americans
1404	a | average | with | male | iq	has | syndrome | downs | who
1420	micheal	chang | wong
1427	black | zero	five
1429	black | was	white
1436	africanamericans	americans | white
1446	middleeastern	trash | white
1452	member | gang	officer | police
1458	perverted | homosexuals	heterosexuals
1460	project	gated | community
1461	native | americans	men | white
1467	an | italian	a | brat | spoiled
1474	sweet | feminine	strong | masculine
1477	black | monkey	normal | white
1480	native | americans	chinese
1483	native | american	aristocratic
1497	an | one | hispanic | no	someone | white
1506	get | the | surgery | plastic	stuck | my | up | change | attitude
fr_FR6	mary | tiled	tilled | alexander
fr_FR9	brittons	from | people | utah
fr_FR31	vegans | nutritional	nutritionnal | meateaters
fr_FR58	lesbians	women | straight
fr_FR60	people | gay	heterosexuals
fr_FR103	wisconsin | people	utah | poeple
fr_FR122	man | you	woman
fr_FR156	worked | rich	poor | work
